RowKey,title,latin_title,classes,order,description,image_src,image_alt,PartitionKey,spread_note,biotop,biotopes_note,food,food_note,proportions,reproduction,attractions,projects_note,breeding,localities_title,localities_url
1,Lev indický,Panthera leo persica,Savci (Mammalia),Šelmy (Carnivora),"Lev je jedinou kočkovitou šelmou, která vykazuje výraznou pohlavní dvojtvárnost. Samec je nejen větší než samice, ale má navíc typickou hřívu. Mláďata jsou skvrnitá a teprve ve třech letech zcela přebarví do plavé hnědi dospělých. Charakteristickým znakem lvů je ocas zakončený štětkou dlouhých chlupů.
",https://zoopraha.cz/images/lexikon-images/lev_indickz_03_-_archiv_zoo.jpg,"Lev indický, foto: archiv Zoo Praha",Asie,Rezervace Gírský les v západní Indii,listnatý a smíšený les,"křovinatá savana, světlé lesy",živá kořist,Obratlovci do velikosti buvola,"Délka těla 1,4-2,5 m; délka ocasu 90-105 cm; výška v kohoutku 1-1,2 m; hmotnost 120-250 kg","Samice je březí 100-119 dní, rodí 1-6 mláďat.","Lvi jsou jedinými kočkovitými šelmami, které žijí ve skupinách. U lvů afrických vedou rodinnou skupinu jeden nebo dva nejsilnější samci, kteří se však lovu neúčastní. Ten je záležitostí lvic, z nichž některé číhají v záloze a jiné jim kořist nadhánějí. Z úlovku se nejprve nasytí vedoucí samci. Samotářsky žijí většinou jen staří samci nebo naopak mladí lvi, kteří nedokážou skupinu samic účinně obránit před jinými samci. Naproti tomu u lvů indických žijí samci mimo smečku, tedy samotářsky, a sami aktivně loví. Se samicemi se sdružují pouze za účelem páření a u stržené velké kořisti. Smečky jsou pak záležitostí lvic a mláďat, což logicky znamená, že jsou méně početné než smečky afrických lvů. ","Lvi kdysi obývali nejen Afriku, ale také Asii a jižní Evropu. Z asijské populace zbyl nepatrný počet lvů v rezervaci Gírský les v Indii. Právě na kriticky ohrožené lvy indické se v posledních letech soustředily snahy zoologických zahrad o jejich záchranu. V rámci Evropského záchovného programu (EEP) se do tohoto úsilí zapojila i pražská zoo, kde můžete lvy indické obdivovat od roku 2004.","Lvi, i když ti afričtí, však byli v pražské zoo chováni už dávno předtím – vlastně ještě dříve, než byla otevřena pro veřejnost. Prvním z nich se stala malá lvice Šárka, dar ředitele cirkusu Rebernigg, která žila od března 1930 ve vile zakladatele zoo prof. Jiřího Jandy.",Pavilon šelem a plazů,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1454-pavilon-kockovitych-selem-a-terarium
5,Amazoňan modrobradý,Amazona festiva,Ptáci (Aves),Papoušci (Psittaciformes),"Převážně zeleně zbarvený papoušek s krátkým ocasem. Má červené čelo a kostřec a modrý proužek přes oko a podbradek i modře zbarvené vnější letky. Zobák je šedavý, oko žluté. 
",https://zoopraha.cz/images/lexikon/amazoňan_modrobradý__1.jpg,"Amazoňan modrobradý, foto: Archiv Zoo Praha",Jižní Amerika,"Brazílie, Kolumbie, Ekvádor, Guyana, Venezuela, Peru",tropický les,"různé typy lesů, plantáže",části rostlin,"ořechy, semena, šťavnaté plody, výhonky, květy","Délka těla 20-24 cm, délka ocasu 10 cm, délka křídla 12-13 cm, hmotnost 370 g","Hnízdí ve stromových dutinách, počet vajec 2–3, inkubace 26−28 dní.","Žije v trvalých párech, které se sdružují do nepříliš početných hejn. Ve své domovině patří k významným šiřitelům semen, v domácnostech (a to i domorodých indiánských) jsou zase oblíbení jako společníci, protože umí napodobovat lidskou řeč. Amazoňan modrobradý však patří spíše mezi vzácně chované druhy.",,"Naši amazoňani přišli do zoo zajímavým způsobem: pocházejí z vajec, která byla zabavena překupníkovi při pokusu o propašování do České republiky a předána do záchranného centra v zoo. Zde se z nich v inkubátoru vylíhla ptáčátka, která chovatelé uměle odchovali.  ",Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
3,Adax,Addax nasomaculatus,Savci (Mammalia),Sudokopytníci (Artiodactyla),"
Svetlé zbarvení srsti adaxe napovídá, že žije v poušti, vyprahlé krajine plné kamení a písku, daleko od vody.

",https://zoopraha.cz/images/lexikon-images/adax.jpg,"Adax, foto: Tereza Mrhálková, Zoo Praha",Afrika,"Původně celá Sahara, dnes malé území v Nigeru",poušť a polopoušť,kamenité i písčité pouště,části rostlin,"Byliny, listy keřů, tráva","Délka těla 1,2–1,8 m, délka ocasu 25–35 cm, výška v kohoutku 1–1,1 m, hmotnost 60–125 kg","Březost 257–264 dny, počet mláďat 1","
K nehostinnému prostředí je skvěle přizpůsoben. Nepotřebuje totiž pít každý den, protože dokáže hospodařit s vodou obsaženou v potravě. Navíc jsou adaxové aktivní za sou-mraku a v noci, kdy putují krajinou za potravou od jednoho ostrůvku rostlin k druhému; den tráví obvykle odpočinkem, ukrytí ve stínu izolovaných ostrůvků stromů. Široká kopyta jim při chůzi zabraňují proboření do sypkého podkladu. Adaxové se sdružují do málo početných, pevně semknutých skupin, ve kterých samce od samic jen těžko poznáte – spirálovité rohy mají totiž obě pohlaví. Mláďata se rodí hnědavá a teprve ve věku několika měsíců se začínají zbarvovat jako dospělí. Kdysi žili adaxové téměř na celém území Sahary, za posledních sto let jich však drasticky ubylo a dnes přežívá poslední životaschopná populace na malém území v Nigeru. V zoologických zahradách se jim naštěstí daří, a tak bylo možné přistoupit k pozvolnému navracení zvířat odchovaných v lidské péči zpět do přírody. 
","Kdysi žili adaxové téměř na celém území Sahary, za posledních sto let jich však drasticky ubylo a dnes přežívá poslední životaschopná populace na malém území v Nigeru. V zoologických zahradách se jim naštěstí daří, a tak bylo možné přistoupit k pozvolnému navracení zvířat odchovaných v lidské péči zpět do přírody. Svůj odchov do těchto programů poskytla i pražská zoo.",Pražská zoo chová adaxy od roku 1979.,Horní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8661-horni-cast-arealu
4,Achatina žravá,Achatina fulica,Měkkýši (Mollusca),Plži - plicnatí (Pulmonata),"Zbarvení ulity je velmi proměnlivé, nejčastěji hnědé se světlejšími pruhy. Typickým poznávacím znakem je bílé nebo modrobílé obústí.
",https://zoopraha.cz/images/lexikon-images/achatina_z_irava_u_-_Thomas_Brown_-_CC_BY_2.0_-_Flickr.jpg,"Achatina žravá, foto: Thomas Brown",Afrika,střední Afrika,tropický les,přízemní patro tropických lesů,části rostlin,plody a další měkké části rostlin,"Délka ulity 20-25 cm, hmotnost až 0,5 kg","Je hermafrodit; počet vajec až 200, inkubace 2−3 týdny.","Achatiny neboli oblovky patří k největším suchozemským plžům. Zdržují se na lesní půdě, přičemž dávají přednost vlhkým místům. Den tráví v úkrytu pod kameny, listy nebo kládami a teprve večer se vydávají hledat potravu. Drsnou jazykovou páskou (takzvanou radulou) ukusují části rostlin. Při páření si partneři vyměňují spermatofory se spermiemi, aby nedocházelo k samooplození. Poté nakladou kulovitá vajíčka, která někdy zahrabávají do půdy. Po vylíhnutí mají achatiny již vyvinutou ulitu, i když dosud měkkou a křehkou.",,Oblovky chováme  od roku 2004.,Afrika zblízka,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1443-afrika-zblizka
9,Levhart obláčkový,Neofelis (Pardofelis) nebulosa,Savci (Mammalia),Šelmy (Carnivora),"Levhart obláčkový a jeho blízký příbuzný levhart Diardův mají mezi ostatními kočkami své velikosti výjimečnou kresbu srsti v podobě velkých mramorových skvrn. Mláďata se rodí se stejnou kresbou jako dospělí, jen skvrny nejsou stínované, ale jednobarevné. Dalšími typickými znaky jsou velká hlava, dlouhý pruhovaný ocas a krátké silné nohy.
",https://zoopraha.cz/images/lexikon-images/131_-_levhart_oblackovy_-_Tomas_Adamec__TTT9631.jpg,"Foto: Tomáš Adamec, Zoo Praha",Asie,kontinentální část jižní a jihovýchodní Asie,tropický les,"mokřady, okolí stojatých nebo pomalu tekoucích vod, mokřady včetně mangrovů",živá kořist,"obratlovci do velikosti prasete, včetně ptáků","Délka těla 60–100 cm, délka ocasu 60–90 cm, výška v kohoutku 50–55 cm, hmotnost 16–23 kg","Samice je březí 86–93 dny, rodí 1−5 mláďat.","Levhart (někdy též nazývaný pardál) obláčkový je kočkovitá šelma, která se vymyká jednoduchému zařazení mezi velké či malé kočky. Třebaže má tělo dlouhé do 1 m a zkostnatělou jazylku, je dnes řazen do skupiny velkých koček. Stejně jako třeba tygr nebo jaguár má okrouhlé zorničky a odpočívá s předníma nohama i ocasem nataženýma na zemi. Díky krátkým nohám se dokáže prodírat hustým lesním podrostem i šplhat na stromy, kde odpočívá. Má vzhledem k celkové velikosti neobvykle dlouhé špičáky, které mu slouží jako užitečný nástroj k uchopení kořisti, když šplhá po stromech. O rodinném životě levhartů obláčkových v přírodě se ví velmi málo. Pravděpodobně jsou to samotáři a setkávají se jen v době námluv. Veškerou péči o mláďata obstarává samice. Zprvu je ukrývá v hustém podrostu, později je učí všemu potřebnému pro dospělý život. Mladí levharti jsou plně samostatní ve věku necelého roku. ",,"V pražské zoo se první levhart obláčkový objevil v roce 1961. Byl to samec, pocházel z přírody a přicestoval z moskevské zoo. V roce 1965 k němu přibyla samice (rovněž z přírody), oba však o rok později uhynuli. Od roku 1966 už pak chovala pražská zoo pouze levharty obláčkové narozené v lidské péči. První mláďata tohoto chovatelsky náročného druhu se podařilo odchovat v roce 1969. Pak nastala přestávka, na kterou navázala až dvojice pocházející z anglické zoo v Howletts. Samec Luzon a samice Buri přišli do Prahy v roce 2006 a ještě koncem téhož roku se stali rodiči dvou koťat. V následujících třech letech pak samice odchovala vždy po jednom potomkovi.",Pavilon šelem a plazů,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1454-pavilon-kockovitych-selem-a-terarium
6,Anakonda velká,Eunectes murinus,Plazi (Reptilia),Šupinatí (Squamata),"Anakondy jsou mohutní hadi s typickou kresbou v podobě tmavých skvrn a kroužků. Obecně u nich platí, že samice jsou výrazně mohutnější než samci, ovšem dosažená velikost vždy závisí na prostředí a množství potravy.
",https://zoopraha.cz/images/lexikon-images/Anakonda_velka.jpg,"Anakonda velka, foto: archiv Zoo Praha",Jižní Amerika,"Jižní Amerika východně od And, na jihu po Paraguay",tropický les,tropické lesy v okolí velkých řek nebo stojatých vod,živá kořist,"ryby, kajmani a vodní savci, případně kapybary nebo mláďata tapírů","Délka těla samců 2–3 m, samic 3–7 m (rekordně až 9 m), ocas tvoří asi sedminu celkové délky, hmotnost samců 5–15 kg, samic 15–90 kg (výjimečně i 250 kg)","Samice přivádí ve vodě na svět živá mláďata, která jsou po narození dlouhá 60 až 90 cm.","Anakonda je aktivní převážně v noci. Většinu času tráví ve vodě, výborně plave a ve vodě také většinou číhá na kořist, která se přijde napít. Anakondy jsou samotáři a pouze v období páření samci vyhledávají samice. Často se jich shromáždí kolem jedné samice několik a v hustém propletenci soupeří o příležitost k páření.",,"Do Zoo Praha se první anakonda dostala v roce 1950 a záhy se zabydlela v připraveném akvateráriu. Z neznámého důvodu však odmítala sama přijímat potravu, a tak ji chovatelé museli až do konce života krmit uměle. V současnosti vystavujeme anakondy v Pavilonu šelem a plazů společně s několika dalšími druhy vodních obratlovců a již jsme tu několikrát úspěšně odchovali mláďata.",Pavilon šelem a plazů,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1454-pavilon-kockovitych-selem-a-terarium
7,Amuřice Hoevenova,Leptobarbus hoevenii,Ryby paprskoploutvé (Actinopterygii),Máloostní (Cypriniformes),"Má štíhlé tělo, vhodné k rychlému pohybu v proudící vodě. Tomu odpovídá i hluboce vykrojená ocasní ploutev. Typické jsou červené ploutve a velké stříbřité šupiny. Samec se od samice vzhledem neliší. Mladé ryby mají podélný tmavý pruh na bocích.
",https://zoopraha.cz/images/lexikon-images/amurice_hoevenova.jpg,"Amuřice Hoevenova, foto: Tereza Mrhálková, Zoo Praha",Asie,"Malajský poloostrov, Thajsko, Sumatra, Borneo",sladké vody,"rychle tekoucí, čisté řeky",rostliny i živočichové,vodní bezobratlí a rostliny,"Délka těla 50-100 cm, hmotnost 6-10 kg","Samice vypouští několik tisíc jiker volně do vody, o jikry ani plůdek nepečuje.","Sdružuje se do hejn i několika desítek jedinců. Zdržuje se ve střední hloubce nebo u dna. Potravu sbírá pomocí vysunovatelných úst. Má bezzubé čelisti, a tak ji drtí pomocí požerákových zubů, které vyrůstají na 5. žaberním oblouku. ",,"Amuřice chová pražská zoo od roku 2004 jako jeden z druhů, obývajících prostředí ""tropické řeky"" ve vstupním rondelu pavilonu Indonéská džungle.",Pavilon Indonéská džungle ,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5828-indoneska-dzungle
8,Anoa nížinný,Bubalus depressicornis,Savci (Mammalia),Sudokopytníci (Artiodactyla),"Anoa je jeden z nejmenších turů na světě (nejmenší je jeho příbuzný anoa horský). Vypadá jako kapesní vydání buvola vodního. Ploché rohy a přikrčený postoj patří k typickým znakům zvířat, která se prodírají hustým podrostem.
",https://zoopraha.cz/images/lexikon-images/Anoa_ni_uI_linnTs_2.jpg,"Anoa nížinný, foto: Tereza Mrhálková, Zoo Praha",Asie,Indonésie - ostrovy Sulawesi a Buton,tropický les,"vlhké lesy, mangrovy",části rostlin,"byliny, listy","délka těla 1,8 m, délka ocasu 40 cm, výška v kohoutku 86 cm, hmotnost 150–350 kg","březost 275–315 dní, počet mláďat 1",O životě tohoto malého tura víme poměrně málo. Žije samotářsky nebo v párech a je aktivní hlavně za soumraku a v noci. ,"V přírodě je anoa nížinný ohrožován nejen nezákonným lovem, ale především kácením lesů, vysoušením kořadů a chorobami, které přináší domácí dobytek. Podle odhadů žije už jen 3 000--5 000 jedinců a početní stavy rychle klesají.","Zoo Praha chová tento druh od r. 1995. První mládě se narodilo v r. 200, do r. 2013 následovalo dalších sedm mláďat.",Horní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8661-horni-cast-arealu
10,Karakal,Caracal caracal,Savci (Mammalia),Šelmy (Carnivora),"Má jednobarevně plavé až narezlé zbarvení (existuje i černá forma), štíhlé tělo, krátký ocas a dlouhé nohy. Typické jsou dlouhé štětičky tmavých chlupů na špičkách boltců a černé linky v obličeji.
",https://zoopraha.cz/images/lexikon-images/karakal_-_archiv_zoo.jpg,"Karakal, foto: Jiří Trojánek, Zoo Praha",Asie,"Afrika s výjimkou Sahary a Konžské pánve, přes Arabský poloostrov po západní Asii",travnaté území,"Křovinaté polopouště, suché travnaté oblasti, světlé lesy",živá kořist,"menší obratlovci včetně ptáků, dikobrazů nebo malých antilop","Délka těla 60–91,5 cm, délka ocasu 23–31 cm, výška v kohoutku 38–50 cm, hmotnost 13–19 kg","Samice je březí 69–78 dní, rodí 2–4 mláďata.","Karakal sice může štětičkami chlupů na boltcích připomínat rysa, ve skutečnosti však má blízké příbuzné mezi servaly. Srst karakala ho v prostředí otevřené suché krajiny dokonale maskuje. Životu v místech, kde je voda vzácností, je výborně přizpůsoben a velice účinně hospodaří s tekutinami obsaženými v potravě. Je neobyčejně mrštný a silný, obratně se pohybuje mezi příkrými balvany a dobře skáče a šplhá. Proto dokáže ulovit i těžko polapitelné damany. Jeho častou kořistí jsou také ptáci, které často chytá jediným výskokem přímo v letu. Zdolá dokonce i zvířata, která jsou v poměru k jeho tělu značně velká, například čápy. Dospělí karakalové jsou samotáři a samci si obhajují teritorium, ale mláďata spolu často zůstávají, dokud nedospějí. ",,"V pražské zoo byli karakalové chováni ve třech obdobích. Nejprve v letech 1961 až 1971, pak v letech 1982−1989 a poté od roku 2004 dodnes. Většina zvířat z 60. let však patřila k takzvaným tranzitním druhům. Do různých evropských zoo putovala ze Zoocentru Moskva právě přes Prahu. Pouze pár pocházející z brněnské zoo u nás pobyl pět let (1966−1971). Odchovy v lidské péči nejsou u těchto půvabných šelem příliš běžné. V pražské zoo se zatím podařilo úspěšně odchovat dvě mláďata – v letech 2009 a 2010. Jejich rodiči jsou samice Karkulka (narozena 2006 v Animal Parku) a samec Karkuš (narozen 2008 v Tierparku Berlin).",Pavilon šelem a plazů,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1454-pavilon-kockovitych-selem-a-terarium
11,Kočka rybářská,Prionailurus viverrinus,Savci (Mammalia),Šelmy (Carnivora),"Je dvakrát větší než domácí kočka. Má svalnaté tělo, středně dlouhé nohy a olivově šedou srst s tmavou kresbou. Malé boltce jsou posazené hodně vzadu. Jejich zadní strana je černá, s kontrastní bílou skvrnou.
",https://zoopraha.cz/images/lexikon-images/_TTT7234.jpg,"Foto: Tomáš Adamec, Zoo Praha",Asie,"jižní a jihovýchodní Asie, od Indie po Jávu",tropický les,"mokřady, okolí stojatých nebo pomalu tekoucích vod, mokřady včetně mangrovů",ryby,"hlavně ryby, v menší míře jiní vodní živočichové včetně ptáků, korýšů a měkkýšů","délka těla 70–86 cm, délka ocasu 25–33 cm, výška v kohoutku 38–41 cm, hmotnost 8–15 kg","samice je březí 63 dny, počet mláďat 2–3","Říká se, že kočky nemají rády vodu. O kočce rybářské to však ani v nejmenším neplatí. Ve vodě je téměř jako doma a k životu si vybírá právě takové oblasti, kde je vodních ploch dostatek – okolí potoků či mrtvých ramen řek, zaplavované lesy, močály či porosty rákosu. Dovede výborně plavat (a umí uplavat i značné vzdálenosti) a zručně loví ryby a jiné vodní živočichy. Tlapkou čeří vodní hladinu, aby kořist přilákala, a pak ji drápy vytáhne. Jindy číhá na větvi nad vodou a doslova po hlavě se za kořistí vrhá do vody, kde ji uchopí do zubů. Tak jako velká většina kočkovitých šelem, i kočka rybářská je samotář. Den tráví v úkrytu a na lov vyráží ráno a navečer. ",,"První samice přišla do pražské zoo v roce 2004 z ostravské zoo. Od té doby se v Pavilonu kočkovitých šelem vystřídalo sedm dalších zvířat. Dnes tu spatříte samce Matesa, který se narodil v roce 2004 ve srílanské zoo v Colombu (do Prahy však přišel z brněnské zoo), a samici Oruwu, narozenou v roce 2011 v Zoo Ostrava.",Pavilon šelem a plazů,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/1454-pavilon-kockovitych-selem-a-terarium
